mention,best_cui,best_name,mapped
dobbhoff tip,C1705504,TIP,True
dobbhoff tube,C0175730,Tube,True
dobbhoff tube coils,C0444764,Coils,True
dobbhoff tube ends,C0444930,ends,True
dobbhoff tube tip,C1705504,TIP,True
dobbhoff tubes,C1704474,Tubes,True
dobhoff - type,C0332307,Type,True
dobhoff - type tube,C0175730,Tube,True
dobhoff catheter,C0085590,Catheter,True
dobhoff feeding tube,C0175730,Tube,True
dobhoff nasogastric tube,C0175730,Tube,True
dobhoff tube,C0175730,Tube,True
dobhoff tube catheter,C0085590,Catheter,True
dobhoff tube coils,C0444764,Coils,True
dobhoff tube tip,C1705504,TIP,True
dobhoffs tube,C0175730,Tube,True
doboff tube,C0175730,Tube,True
documented,C1301725,Documented,True
dome,C1707807,Dome,True
dome of the liver,C0023884,Liver,True
dominant,C1527180,Dominant,True
dominant lesion,C0221198,Lesion,True
dominant mass,C0577559,Mass,True
dominant one,C5201140,One,True
done,C1272695,Done,True
doppler,C0554756,Doppler,True
dorsal,C0205095,Dorsal,True
dorsal an limited,C0439801,Limited,True
dorsal aspect,C1879746,Aspect,True
dorsal column,C0228576,dorsal column,True
dorsal fusion,C0332466,Fusion,True
dorsal lung,C4037972,Lung,True
dorsal opacities,C0029053,opacities,True
dorsal part,C0442054,Dorsal part,True
dorsal parts,C0442054,dorsal parts,True
dorsal portions,C0205095,Dorsal,True
dorsal spine,C0037949,Dorsal spine,True
dorsolateral part,C1709471,Part,True
dose lung,C4037972,Lung,True
dot - like,C0870814,Like,True
dot of catheter,C0085590,Catheter,True
double,C0205173,Double,True
double - coiled,C0444764,coiled,True
double - lead,C0023175,Lead,True
double - lumen,C1551056,Lumen,True
double - lumen catheter,C0441131,Double lumen catheter,True
double - lumen dialysis catheter,C0179747,Dialysis catheter,True
double - lumen pacemaker,C0030163,pacemaker,True
double - lumen tube,C0441299,Double lumen tube,True
double channel,C1706095,Channel,True
double contour,C0876954,Contour,True
double density,C0178587,Density,True
double lumen catheter,C0441131,Double lumen catheter,True
double lumen venous catheter,C0745442,Venous catheter,True
double of catheter,C0085590,Catheter,True
double tube,C0175730,Tube,True
doubling back,C0205095,Back,True
doubt,C0870444,doubt,True
doubt overt chf,C0018802,CHF,True
doubt pneumothorax,C0032326,Pneumothorax,True
doubt significant change,C0392747,Change,True
doubt significant interval change,C2041208,interval change,True
down,C0013080,Down,True
down displacement,C0012727,Displacement,True
downward,C0205104,Downward,True
downward bulging,C0038999,Bulging,True
downward deflection,C0205104,Downward,True
downward retraction,C0332523,Retraction,True
downward turn,C0541749,turn,True
downwards,C0205104,downwards,True
dr,C4761490,DR,True
drain,C0180499,Drain,True
drain device,C0180499,"Drain, device",True
drain devices,C0220819,devices,True
drain effusion,C0013687,Effusion,True
drain is tubes,C1704474,Tubes,True
drain marks,C0522501,marks,True
drain output,C1709366,Output,True
drain tube,C0184114,drain tube,True
drain tubes,C0184114,drain tubes,True
drainage,C2926602,Drainage,True
drainage apparatus,C1947951,Apparatus,True
drainage catheter,C0879005,drainage catheter,True
drainage catheter placement,C1533810,Placement,True
drainage catheters,C0879005,drainage catheters,True
drainage device,C1395796,drainage; device,True
drainage devices,C0220819,devices,True
drainage feeding tube,C0175730,Tube,True
drainage line,C0205132,Line,True
drainage lines,C1548328,Lines,True
drainage pigtail catheter,C0085590,Catheter,True
drainage purposes,C1285529,purposes,True
drainage tube,C1546605,"Drainage, Tube",True
drainage tube catheters,C0085590,Catheters,True
drainage tube ends,C0444930,ends,True
drainage tube loops,C0181687,loops,True
drainage tubes,C0184114,drainage tubes,True
drainage tubing,C0184165,Tubing,True
drained parts,C0449719,parts,True
draining catheter,C0085590,Catheter,True
draining tube,C0184114,draining tube,True
drains,C0180499,Drains,True
drains and fixation material,C0520510,Material,True
drains chest tubes,C1704474,Tubes,True
drains in place,C1704765,Place,True
dramatic change,C0392747,Change,True
dramatic fluctuations,C0231239,fluctuations,True
dramatic improvement,C2986411,Improvement,True
dramatic increase,C0442805,Increase,True
dramatically changed,C0443172,Changed,True
dramatically decreased,C0392756,Decreased,True
dramatically diminished,C0205216,Diminished,True
dramatically improved,C4084203,Improved,True
dramatically increased,C5236002,Increased,True
dramatically smaller,C0547044,Smaller,True
dramatically worsened,C1457868,Worsened,True
draw back,C0205095,Back,True
drawn back,C0205095,Back,True
dressings obscure,C4727091,Obscure,True
drop,C4318619,Drop,True
drug,C0013227,Drug,True
drug - induced,C0458082,Drug-induced,True
drug - related,C0445223,Related,True
drug changes,C0392747,changes,True
drug induced,C0458082,Drug-induced,True
drug induced granulomatosis,C0521173,Granulomatosis,True
drug inhalation related,C0445223,Related,True
drug overdose,C0029944,Drug Overdose,True
drug reaction,C0041755,Drug reaction,True
drug reactions,C0041755,Drug Reactions,True
drug related,C0445223,Related,True
drug report transfusion,C1879316,Transfusion,True
drug toxicity,C0013221,Drug Toxicity,True
dual,C1554184,Dual,True
dual - chamber,C0725893,Dual Chamber,True
dual - chamber dual - lead pacemaker,C0030163,pacemaker,True
dual - chamber pacemaker,C2016254,dual-chamber pacemaker,True
dual - chamber pacer,C3470541,PACER,True
dual - channel,C1706095,Channel,True
dual - channel catheter,C0085590,Catheter,True
dual - channel dialysis catheter,C0179747,Dialysis catheter,True
dual - channel dialysis line,C0205132,Line,True
dual - channel icd line,C0205132,Line,True
dual - channel pacemaker device,C0699733,Device,True
dual - channel pacer,C3470541,PACER,True
dual - channel pacer device,C0699733,Device,True
dual - lead,C0023175,Lead,True
dual - lead icd device,C0699733,Device,True
dual - lead pacemaker,C0030163,pacemaker,True
dual - lead pacemaker device,C0699733,Device,True
dual - lead pacer,C3470541,PACER,True
dual - lead pacer device,C0699733,Device,True
dual - lumen,C1551056,Lumen,True
dual - lumen catheter,C0085590,Catheter,True
dual - lumen central,C1879652,Central -,True
dual - lumen dialysis catheter,C0179747,Dialysis catheter,True
dual - lumen hemodialysis catheter,C0179760,Hemodialysis catheter,True
dual - lumen large bore catheter,C0085590,Catheter,True
dual bore catheter,C0085590,Catheter,True
dual catheter,C0085590,Catheter,True
dual central venous,C0042449,Venous,True
dual central venous line,C0745442,Venous line,True
dual chamber catheter,C0085590,Catheter,True
dual chamber pacemaker,C2016254,dual-chamber pacemaker,True
dual channel,C1706095,Channel,True
dual channel catheter,C0085590,Catheter,True
dual channel central venous catheter,C0745442,Venous catheter,True
dual channel dialysis,C0011945,Dialysis,True
dual channel dialysis catheter,C0179747,Dialysis catheter,True
dual channel dialysis catheters,C0085590,Catheters,True
dual channel hemodialysis catheter,C0179760,Hemodialysis catheter,True
dual channel infusion port,C0452253,Port,True
dual channel pacer,C3470541,PACER,True
dual channel pacer device,C0699733,Device,True
dual electrodes in place,C1704765,Place,True
dual et tube,C0175730,Tube,True
dual intact leads,C0181586,Leads,True
dual lead,C0023175,Lead,True
dual lead icd,C0020725,ICD,True
dual lead pacemaker,C0030163,pacemaker,True
dual lead pacer,C3470541,PACER,True
dual lead pacing device,C0699733,Device,True
dual lead permanent pacemaker,C0030163,pacemaker,True
dual leads,C0181586,Leads,True
dual leads in appropriate position,C0733755,Position,True
dual lumen,C1551056,Lumen,True
dual lumen catheter,C0085590,Catheter,True
dual lumen central venous catheter,C0745442,Venous catheter,True
dual lumen tube,C0175730,Tube,True
dubhoff tube,C0175730,Tube,True
dubhoff tube tip,C1705504,TIP,True
duct,C0687028,Duct,True
duct cough tube,C0175730,Tube,True
duct cough tube tip,C1705504,TIP,True
duct of tube,C0175730,Tube,True
duct tube,C0175730,Tube,True
ductal tube,C0175730,Tube,True
dull breath sounds,C0035234,Breath sounds,True
dullness,C0541911,Dullness,True
dumb cough,C0010200,Cough,True
dumbbell shaped,C0332479,shaped,True
dump off tube,C0175730,Tube,True
duo,C5575337,DUO,True
duodenal,C0013303,DUODENAL,True
duodenal - jejunal,C0022378,Jejunal,True
duodenojejunal,C0450198,Duodenojejunal,True
duodenojejunal junction,C0227282,Duodenojejunal junction,True
duodenojejunal plica,C1204543,plica,True
duodenum,C0013303,Duodenum,True
duration,C0449238,Duration,True
dynamic,C0729333,Dynamic,True
dynamic changes,C0392747,changes,True
dynamic tension,C0233494,Tension,True
dysfunction,C0277785,Dysfunction,True
dysmorphic changes,C0392747,changes,True
dysmotility,C0679316,dysmotility,True
dysostosis,C0013393,Dysostosis,True
dysplasia,C0334044,Dysplasia,True
dyspnea,C0013404,Dyspnea,True
dystrophic,C0333607,dystrophic,True
dystrophic change,C0392747,Change,True
e,C0227085,E,True
e feeding tube,C0175730,Tube,True
each,C1457900,Each,True
each side,C0441987,Side,True
earlier,C1279919,Earlier,True
earlier on,C1279919,Earlier,True
earlier pneumonia,C0032285,Pneumonia,True
earlier time,C2024467,time,True
earlier worsening,C0332271,Worsening,True
early,C1279919,Early,True
early / developing,C1279919,Early,True
early / focal,C1279919,Early,True
early / mild,C1279919,Early,True
early a,C1279919,Early,True
early acute,C1279919,Early,True
early alveolar,C1440080,Alveolar,True
early ards,C2887484,ARDS,True
early aspiration,C2712334,Aspiration,True
early atelectasis,C0004144,Atelectasis,True
early bacterial,C0521009,Bacterial,True
early bony callus,C0006767,Bony callus,True
early cavitation,C1510420,Cavitation,True
early chf,C0018802,CHF,True
early confluent,C0205200,Confluent,True
early consolidation,C0521530,Consolidation,True
early dependent,C0851827,Dependent,True
early dependent edema,C0235437,Dependent edema,True
early developing,C1279919,Early,True
early edema,C0013604,Edema,True
early failure,C0231174,Failure,True
early focus,C0205234,Focus,True
early focus of infection,C0009450,Infection,True
early focus pneumonia,C0032285,Pneumonia,True
early infarction,C0021308,Infarction,True
early infection,C0009450,Infection,True
early infectious,C0009450,Infectious,True
early infectious infiltrate,C0332448,Infiltrate,True
early infectious infiltrates,C0332448,infiltrates,True
early infectious process,C0745283,Infectious process,True
early infiltrate,C0332448,Infiltrate,True
early infiltrates,C0332448,infiltrates,True
early mild,C1279919,Early,True
early nodular quality,C0332306,Quality,True
early obstruction,C0028778,Obstruction,True
early pna,C0600500,PNA,True
early pneumonia,C0032285,Pneumonia,True
early pneumonic infiltrate,C0332448,Infiltrate,True
early pneumonic infiltrates,C0332448,infiltrates,True
early stage,C1517886,Early Stage,True
early tension,C0233494,Tension,True
early uip,C4721509,UIP,True
ease distal tip,C1705504,TIP,True
easiest to see,C1947903,See,True
easily,C0332219,Easily,True
easy to miss,C2349206,Miss,True
eccentric,C0439740,Eccentric,True
ecg attachment,C1947904,Attachment,True
ecg cables,C1428446,CABLES,True
ecg clips,C0175722,Clips,True
ecg electrodes,C0013812,Electrodes,True
ecg lead,C0179504,ECG lead,True
ecg leads,C0179504,ecg leads,True
echinococcal cyst,C0010709,Cyst,True
echo,C5575284,ECHO,True
echocardiogram,C0013516,Echocardiogram,True
echocardiography,C0013516,Echocardiography,True
ecmo,C0015357,ECMO,True
ecmo - induced coagulopathy,C0005779,Coagulopathy,True
ecmo cannula,C0520453,Cannula,True
ecmo catheter,C0085590,Catheter,True
ecmo device,C5833101,ECMO device,True
ecom cannula,C0520453,Cannula,True
ectasia,C0012359,Ectasia,True
ectatic,C0700124,Ectatic,True
ectatic - type,C0332307,Type,True
ectatic bronchi,C0006255,Bronchi,True
ectatic vessels,C0005847,vessels,True
ed qa,C0242350,Erectile dysfunction,True
ed qa nurses,C0028661,Nurses,True
edema,C0013604,Edema,True
edema atelectasis,C0004144,Atelectasis,True
edema deposit,C0333562,Deposit,True
edema edema,C0013604,Edema,True
edema findings,C2607943,findings,True
edema following extubation,C0553891,Extubation,True
edema pattern,C0449774,Pattern,True
edema post diuresis,C0012797,Diuresis,True
edema supine positioning,C0733755,Positioning,True
edema the head,C1706305,Head,True
edema worsening,C0332271,Worsening,True
edemaedema,C0013604,Edema,True
edematous,C0013604,Edematous,True
edematous changes,C0392747,changes,True
edge,C0205154,Edge,True
edges,C0205154,edges,True
eeding tube,C0175730,Tube,True
eet,C0049996,EET,True
ef move fusion,C0332466,Fusion,True
effacement,C0552443,effacement,True
effect,C2348382,Effect,True
effective,C1704419,Effective,True
effective repositioning,C0556030,Repositioning,True
effectiveness,C4553491,Effectiveness,True
efffusion,C0013687,effusion,True
effort,C0015264,Effort,True
effort dependent,C0851827,Dependent,True
effort fusion,C0332466,Fusion,True
effusion,C0013687,Effusion,True
effusion - atelectasis,C0004144,Atelectasis,True
effusion - related,C0445223,Related,True
effusion amount,C1265611,Amount,True
effusion atelectasis,C0004144,Atelectasis,True
effusion catheter,C0085590,Catheter,True
effusion consolidation,C0521530,Consolidation,True
effusion effusion,C0013687,Effusion,True
effusion et tube,C0175730,Tube,True
effusion opacity,C1265876,Opacity,True
effusion small,C0013687,Effusion,True
effusion stable,C0205360,Stable,True
effusion thickening,C0205400,Thickening,True
effusion tracking,C0546881,Tracking,True
effusions,C0013687,Effusions,True
eg junction,C0205144,Junction,True
eg junction f,C1533615,F,True
eight,C0205454,Eight,True
eight rib,C0035561,Rib,True
eight ribs,C0035561,Ribs,True
eighth,C0205442,Eighth,True
eighth and ninth lateral ribs,C0035561,Ribs,True
eighth gland,C1285092,Gland,True
eighth left rib,C0035561,Rib,True
eighth or a,C0205442,Eighth,True
eighth posterior,C0205095,Posterior,True
eighth rib,C0222917,Eighth rib,True
eighth ribs,C0035561,Ribs,True
either,C3844638,Either,True
either side,C0441987,Side,True
ekg,C1623258,EKG,True
ekg electrodes,C0013812,Electrodes,True
ekg lead,C0179504,ekg lead,True
ekg leads,C0179504,EKG leads,True
ekos catheter,C0085590,Catheter,True
elderly male patient,C0030705,Patient,True
elective evaluation,C1261322,Evaluation,True
electrode,C0013812,Electrode,True
electrode icd,C0020725,ICD,True
electrode pacemaker,C0030163,pacemaker,True
electrode passes,C0013812,electrode,True
electrode permanent pacer,C3470541,PACER,True
electrode system,C5444317,SYSTEM:*,True
electrode termination,C1549081,Termination,True
electrodes,C0013812,Electrodes,True
electronic,C4281784,Electronic,True
electronic battery pack,C1968515,Pack,True
electronic device,C0699733,Device,True
electronic pacemaker,C0178611,electronic pacemaker,True
electronic pacer leads,C0181586,Leads,True
electronic stimulator capsule,C4319574,Capsule,True
elementary drain,C0180499,Drain,True
elements,C0013879,Elements,True
elevate,C0205250,elevate,True
elevated,C0205250,Elevated,True
elevated between,C0205103,Between,True
elevated position,C0733755,Position,True
elevation,C0439775,Elevation,True
elevator,C0013890,Elevator,True
eleventh,C0205445,Eleventh,True
eleventh rib,C0222959,Eleventh rib,True
elimination,C0221102,Elimination,True
elliptical,C1947977,Elliptical,True
elliptical cavitary / cystic lesion,C1511606,Cystic Lesion,True
elliptical opacification,C0449584,Opacification,True
elliptical opacity,C1265876,Opacity,True
elliptical region,C0205147,Region,True
elliptical ring shadow,C0332554,Shadow,True
elliptical structure,C0678594,Structure,True
elongated,C1839798,Long nose,True
elongation,C4725181,Elongation Mutation,True
em,C0815230,EM,True
em mediastinal,C0025066,Mediastinal,True
embedded shrapnel,C0522670,Shrapnel,True
emboli,C1704212,Emboli,True
embolic,C0013922,Embolic,True
embolic infection,C0009450,Infection,True
embolic origin,C0439659,Origin,True
embolic phenomenon,C1882365,Phenomenon,True
embolism,C1704212,Embolism,True
embolization,C0013931,Embolization,True
embolization coil,C0522644,Embolization coil,True
embolization coils,C0522644,Embolization Coils,True
embolization material,C0475472,Embolization material,True
embolization procedure,C0013931,Embolization procedure,True
embolus,C1704212,Embolus,True
emphysema,C0013990,Emphysema,True
emphysema / ild,C0206062,ILD,True
emphysematous,C0333159,Emphysematous,True
emphysematous bulla,C1305953,Emphysematous bulla,True
emphysematous bullous changes,C0392747,changes,True
emphysematous change,C0743482,EMPHYSEMATOUS CHANGE,True
emphysematous changes,C0392747,changes,True
empyema,C0014009,Empyema,True
en face,C3160739,FACE,True
enable,C5445117,ENABLE,True
encapsulated,C1333381,Encapsulated,True
encapsulated portion,C0449719,Portion,True
encase,C4524504,Encase,True
enchondroma,C1704356,Enchondroma,True
encouraging findings,C2607943,findings,True
end,C2746065,End,True
end - on,C2746065,End,True
end - on vessel,C0042591,Vessel,True
end - stage,C0205088,End-stage,True
end of positive pressure,C0460139,pressure,True
end stage,C0205088,End-stage,True
endarterectomy,C0014098,Endarterectomy,True
ended,C1272693,Ended,True
ending,C2746065,Ending,True
endo graft,C0181074,Graft,True
endobronchial,C0444471,Endobronchial,True
endobronchial valve,C1186983,valve,True
endobronchial valves,C1186983,valves,True
endocarditis,C0014118,Endocarditis,True
endogastric tube,C0175730,Tube,True
endograft,C3504495,Endograft,True
endoprosthesis,C4704931,Endoprosthesis,True
endoscope,C0014243,Endoscope,True
endoscopy,C0014245,Endoscopy,True
endotr portable acheal tube,C0175730,Tube,True
endotracheal,C0599554,Endotracheal,True
endotracheal intubation,C0021932,Endotracheal intubation,True
endotracheal to tube,C0175730,Tube,True
endotracheal tube,C0336630,Endotracheal tube,True
endotracheal tube cuff,C3668885,Cuff,True
endotracheal tube picc,C0179740,picc,True
endotracheal tube tip,C1705504,TIP,True
endotracheal tube tube,C0175730,Tube,True
endotracheal tubes,C0336630,endotracheal tubes,True
endotrahceal tube,C0175730,Tube,True
endovascular,C0524425,Endovascular,True
endovascular pacer electrodes,C0013812,Electrodes,True
ends,C0444930,ends,True
ends above,C1282910,Above,True
ends close,C3810854,Close,True
ends low,C5203106,Low,True
ends ng tube,C0175730,Tube,True
enema catheter,C0085590,Catheter,True
engaging,C0425152,engaging,True
engorged,C0700140,engorged,True
engorged vessels,C0005847,vessels,True
engorgement,C0020452,Engorgement,True
engorgement abnormality,C1704258,Abnormality,True
engorgements,C0020452,Engorgements,True
enhance,C2349975,Enhance,True
enhanced,C2349975,Enhanced,True
enhancement,C1627358,Enhancement,True
enlarge calcified abnormality,C1704258,Abnormality,True
enlarged,C1293134,Enlarged,True
enlarged ends,C0444930,ends,True
enlarged grafted,C0700106,Grafted,True
enlargement,C2711450,Enlargement,True
enlargement point,C1552961,Point,True
enlargement stable,C0205360,Stable,True
enlargement to developed,C0020564,Hypertrophy,True
enlargement warranted,C0020564,Hypertrophy,True
enlargements,C0020564,enlargements,True
enlarging,C0442800,enlarging,True
enlarging cavities,C1510420,CAVITIES,True
enlarging effusions,C0013687,Effusions,True
enlarging hematoma,C0018944,Hematoma,True
enlarging mass,C0577559,Mass,True
enlarging pneumothorax,C0032326,Pneumothorax,True
enough heterogeneity,C0019409,Heterogeneity,True
enphysematous changes,C0392747,changes,True
ensure position,C0733755,Position,True
enter the structure,C0678594,Structure,True
enteric,C1304890,Enteric,True
enteric - type tube,C0175730,Tube,True
enteric catheter,C0085590,Catheter,True
enteric contrast,C0009924,Contrast,True
enteric drainage tube,C0175730,Tube,True
enteric drainage tubes,C1704474,Tubes,True
enteric feeding,C0599574,enteric feeding,True
enteric feeding tube,C0175730,Tube,True
enteric gastric tube,C0175730,Tube,True
enteric tube,C0175730,Tube,True
enteric tube tip,C1705504,TIP,True
enteric tubes,C1704474,Tubes,True
enterostomy tube,C0175730,Tube,True
entire,C0439751,Entire,True
entire area,C0017446,Area,True
entire body,C0444584,Body,True
entire chest,C0817096,Chest,True
entire collapse,C0344329,Collapse,True
entire course,C0750729,Course,True
entire hemi thorax,C0817096,Thorax,True
entire left,C0439751,Entire,True
entire left hemi thorax,C0817096,Thorax,True
entire left hemithorax,C1284911,Entire left hemithorax,True
entire left lung,C1305134,Entire left lung,True
entire lower chest,C0817096,Chest,True
entire lung,C1278908,Entire lung,True
entire lungs,C0024109,Lung,True
entire right lung,C1305131,Entire right lung,True
entire thoracic aorta,C1281571,Entire thoracic aorta,True
entire thorax,C1269614,Entire thorax,True
entire torso,C0460005,Torso,True
entire tube,C0175730,Tube,True
entire upper part,C1709471,Part,True
entirely clear,C5966217,Clear,True
entrance,C0337095,Entrance,True
entrapment,C1285497,Entrapment,True
entry,C1705654,Entry,True
entry site,C1515974,Site,True
enumerated components,C0449432,components,True
eosinophilia,C2240374,Eosinophilia,True
eosinophilic,C0333930,eosinophilic,True
eosinophilic infiltrates,C0332448,infiltrates,True
eosinophilic pneumonia,C5552799,Eosinophilic pneumonia,True
epicardial,C0442016,Epicardial,True
epicardial fat,C0504196,Epicardial Fat,True
epidural,C1550254,Epidural,True
epidural catheter,C0179751,Epidural catheter,True
epigastric,C0521440,Epigastric,True
epigastric region,C0230185,Epigastric Region,True
epigastrium,C0230185,Epigastrium,True
epiglottitis,C0014541,Epiglottitis,True
episode,C0332189,Episode,True
episodes,C0332189,Episodes,True
equal extent,C0439792,Extent,True
equivalent,C0205163,Equivalent,True
equivalent degree,C0449286,Degree,True
equivalent loss,C5890125,Loss,True
equivalent volume,C1705102,Volume,True
equivocal,C0332241,Equivocal,True
equivocal area,C0017446,Area,True
equivocal callus,C0376154,Callus,True
equivocal density,C0178587,Density,True
equivocal faint opacity,C1265876,Opacity,True
equivocal finding,C0037088,Finding,True
equivocal focal,C0332241,Equivocal,True
equivocal increased,C5236002,Increased,True
equivocal interval change,C2041208,interval change,True
equivocal minimal improvement,C2986411,Improvement,True
equivocal opacity,C1265876,Opacity,True
equivocal prominence,C0332241,Equivocal,True
equivocal significance,C0237881,Significance,True
equivocally slightly increased,C5236002,Increased,True
ercp stent,C0038257,Stent,True
erect,C0522014,erect,True
erect positioning,C0733755,Positioning,True
erect posture,C1262869,Posture,True
erosion,C1959609,Erosion,True
erosive,C0439679,Erosive,True
erosive changes,C0392747,changes,True
erosive malignancy,C0006826,Malignancy,True
erosive osteoarthritis,C0451840,erosive osteoarthritis,True
erosive process,C4521054,Process,True
errant placement,C1533810,Placement,True
esophageal,C0014852,ESOPHAGEAL,True
esophageal - gastric junction,C0205144,Junction,True
esophageal 2 below,C0542339,Below,True
esophageal balloon,C0179752,Esophageal balloon,True
esophageal cancer,C0546837,Esophageal cancer,True
esophageal catheter,C0085590,Catheter,True
esophageal conduit,C0441247,Conduit,True
esophageal course,C0750729,Course,True
esophageal device,C0699733,Device,True
esophageal devices,C0220819,devices,True
esophageal dilatation,C0192389,Esophageal dilatation,True
esophageal distention,C0012359,Distention,True
esophageal drain,C0180499,Drain,True
esophageal drainage,C2926602,Drainage,True
esophageal drainage tube,C0175730,Tube,True
esophageal drainage tubes,C1704474,Tubes,True
esophageal dysfunction,C0014852,ESOPHAGEAL DYSFUNCTION,True
esophageal dysmotility,C0014858,Esophageal dysmotility,True
esophageal feeding,C2987508,Feeding,True
esophageal feeding tube,C0175730,Tube,True
esophageal gastric junction,C0205144,Junction,True
esophageal hiatus,C0230160,Esophageal hiatus,True
esophageal line,C0205132,Line,True
esophageal lungs,C1522619,Esophageal,True
esophageal manometer,C0182370,Esophageal manometer,True
esophageal manometer / termometer,C0182370,Esophageal manometer,True
esophageal margin,C0205284,Margin,True
esophageal measurement probe,C0182400,Probe,True
esophageal part,C1268118,Esophageal part,True
esophageal perforation,C0014860,Esophageal Perforation,True
esophageal probe,C0182400,Probe,True
esophageal stent,C0183514,Esophageal Stent,True
esophageal surgery,C1457907,surgery,True
esophageal temperature probe,C0182400,Probe,True
esophageal tube,C0184115,Esophageal tube,True
esophageal tubes,C0184115,Esophageal Tubes,True
esophagectomy,C0085198,Esophagectomy,True
esophagitis,C0014868,Esophagitis,True
esophago - bronchial,C0205039,Bronchial,True
esophagogastrectomy,C0192296,Esophagogastrectomy,True
esophagogastric,C0475468,Esophagogastric,True
esophagogastric drainage tube,C0175730,Tube,True
esophagogastric junction,C0014871,Esophagogastric junction,True
esophagogastric tube,C0175730,Tube,True
esophagus,C0014876,Esophagus,True
esophagus or ge junction,C0205144,Junction,True
essential complete resolution,C1514893,Resolution,True
essential position,C0733755,Position,True
essential resolution,C1514893,Resolution,True
essentially clear,C5966217,Clear,True
essentially normal,C1550457,Normal,True
essentially stable,C0205360,Stable,True
essentially unchanged,C0442739,Unchanged,True
established,C1272684,Established,True
estimated level,C0456079,Level,True
et,C0040028,ET,True
et - tube,C0175730,Tube,True
et and ng tube,C0175730,Tube,True
et and ng tubes,C1704474,Tubes,True
et cuff,C3668885,Cuff,True
et size,C0456389,Size,True
et tip,C1705504,TIP,True
et tracheostomy tube,C0175730,Tube,True
et tube,C0175730,Tube,True
et tube an transesophageal drainage tube,C0175730,Tube,True
et tube appropriate position,C0733755,Position,True
et tube balloon,C0336867,Balloon,True
et tube cough,C0010200,Cough,True
et tube cuff,C3668885,Cuff,True
et tube exam placement,C1533810,Placement,True
et tube position,C0733755,Position,True
et tube tip,C1705504,TIP,True
et tubes,C1704474,Tubes,True
etiologies,C0015127,etiologies,True
etiology,C1524003,Etiology,True
ett and ng tube,C0175730,Tube,True
ett cuff,C3668885,Cuff,True
ett lying,C0600261,Lying,True
ett tip,C1705504,TIP,True
ett tube,C0175730,Tube,True
evacuation,C1282573,Evacuation,True
evaluate,C0220825,Evaluate,True
evaluated,C0220825,Evaluated,True
evaluation,C1261322,Evaluation,True
evaluation limited,C0439801,Limited,True
eve,C5142952,Eve,True
event,C0441471,Event,True
eventrated,C0015207,Eventrated,True
eventration,C0015207,Eventration,True
eversion,C0015211,Eversion,True
evidance of mild,C1547225,Mild Severity of Illness Code,True
evidence,C3887511,Evidence,True
evolution,C0015219,Evolution,True
evolving,C0332253,Evolving,True
evolving ards,C2887484,ARDS,True
evolving consolidation,C0521530,Consolidation,True
evolving infection,C0009450,Infection,True
evolving pneumonia,C0032285,Pneumonia,True
evolving process,C4521054,Process,True
exacerbated,C0436331,exacerbated,True
exacerbation,C4086268,Exacerbation,True
exact extent,C0439792,Extent,True
exact location,C1515974,Location,True
exact position,C0733755,Position,True
exact site of the tip,C1705504,TIP,True
exact tip,C1705504,TIP,True
exaggerate,C0442801,exaggerate,True
exaggerate some findings,C2607943,findings,True
exaggerate the regression,C0684320,Regression,True
exaggerated,C0442801,Exaggerated,True
exaggerated by scoliosis,C0036439,Scoliosis,True
exaggerated kyphosis,C0022821,Kyphosis,True
exaggerating,C0442801,exaggerating,True
exaggerating increase,C0442805,Increase,True
exaggerating mild,C0442801,exaggerating,True
exaggerating severe enlargement,C2711450,Enlargement,True
exam,C0582103,Exam,True
exceed,C5446435,Exceed,True
exceed treated,C1522326,Treated,True
exceedingly low,C5203106,Low,True
except,C4723751,Except,True
exception,C1705847,Exception,True
excess,C0020488,Hypernatremia,True
excessive,C0442802,Excessive,True
excessive free air,C1866503,AIR,True
excessively,C0442802,Excessively,True
exchange,C0678640,exchange,True
exclude pneumothorax,C0032326,Pneumothorax,True
excluded,C0332196,Excluded,True
excluded from film,C1704608,Film,True
excluded from the field of view,C0449911,View,True
excluded from the film,C1704608,Film,True
excluded from the image,C1846009,IMAGE,True
excluded from the study,C0557651,Study,True
exclusion,C0680251,exclusion,True
exclusively,C5981545,Exclusively,True
exertional,C0239313,exertional,True
exogenous,C0205101,Exogenous,True
exophytic,C2700034,Exophytic,True
expand,C0205229,Expand,True
expanded,C0205229,expanded,True
expanding,C0205229,Expanding,True
expansile lesion,C0221198,Lesion,True
expansile lesions,C0221198,Lesions,True
expansile lytic,C0024348,Lytic,True
expansile lytic process,C4521054,Process,True
expansion edema,C0013604,Edema,True
expected,C1517001,Expected,True
expected anatomical position,C0733755,Position,True
expected appearance,C0233426,Appearance,True
expected changes,C0392747,changes,True
expected correct position,C0733755,Position,True
expected course,C0750729,Course,True
expected courses,C0750729,Courses,True
expected decrease,C0392756,Decrease,True
expected degree,C0449286,Degree,True
expected displacement,C0012727,Displacement,True
expected downward course,C0750729,Course,True
expected drainage,C2926602,Drainage,True
expected ge junction,C0205144,Junction,True
expected junction,C0205144,Junction,True
expected level,C0456079,Level,True
expected location,C1515974,Location,True
expected locations,C0450429,locations,True
expected medial turn,C0541749,turn,True
expected pneumoperitoneum,C0032320,Pneumoperitoneum,True
expected position,C0733755,Position,True
expected positions,C0733755,positions,True
expected post - surgical,C0543467,Surgical,True
expected postoperative,C0032790,Postoperative,True
